Emote,Emotion,Description
4Head,Joy,laughing face with a wide grin
8-),Neutral,face with sunglasses indicating coolness
:(,Sadness,frowning face indicating sadness
:-),Joy,smiling face indicating happiness
:-/,Neutral,face with a slight frown indicating confusion or concern
:-D,Joy,grinning face indicating extreme happiness
:-O,Surprise,face with mouth open indicating astonishment
:-P,Joy,face with tongue sticking out indicating playfulness
:-Z,Neutral,face with mouth closed indicating boredom
:-\,Neutral,face with a slight frown indicating confusion or concern
:/,Neutral,face with a slight frown indicating confusion or concern
:D,Joy,grinning face indicating extreme happiness
:O,Surprise,face with mouth open indicating astonishment
:P,Joy,face with tongue sticking out indicating playfulness
:Z,Neutral,face with mouth closed indicating boredom
:l,Neutral,face with a neutral expression
:),Joy,smiling face indicating happiness
;-),Joy,winking face indicating playfulness
;-P,Joy,face with tongue sticking out and winking indicating playfulness
>:(,Anger,scowling face indicating anger
<3,Joy,red heart indicating love or affection
ANELE,Neutral,face with a neutral expression wearing a headscarf
ArgieB8,Neutral,face with sunglasses and a mustache indicating coolness
ArsonNoSexy,Neutral,face with sunglasses and a mustache indicating coolness
AsexualPride,Neutral,pride flag indicating support for asexuality
AsianGlow,Neutral,face with a neutral expression
B),Neutral,face with sunglasses indicating coolness
B-),Neutral,face with sunglasses indicating coolness
BCWarrior,Neutral,face with a neutral expression
BOP,Joy,face with wide eyes and mouth open indicating excitement
BabyRage,Anger,crying face with an angry expression indicating frustration
BatChest,Surprise,face with wide eyes and mouth open indicating astonishment
BegWan,Sadness,crying face indicating sadness
BibleThump,Sadness,crying face indicating sadness
BigBrother,Neutral,face with a neutral expression
BigPhish,Neutral,face with a neutral expression
BisexualPride,Neutral,pride flag indicating support for bisexuality
BlackLivesMatter,Neutral,raised fist indicating solidarity
BlargNaut,Neutral,face with a neutral expression wearing a helmet
BloodTrail,Neutral,face with a neutral expression
BrainSlug,Neutral,face with a slug on the head indicating being zombified
BrokeBack,Neutral,face with a neutral expression
BuddhaBar,Neutral,face with a neutral expression
CaitlynS,Neutral,face with a neutral expression
CarlSmile,Joy,smiling face indicating happiness
ChefFrank,Neutral,face with a neutral expression
ChewyYAY,Joy,smiling face indicating excitement
CoolCat,Neutral,face with sunglasses indicating coolness
CoolStoryBob,Neutral,face with a neutral expression
CorgiDerp,Joy,face with a derpy expression indicating silliness
CrreamAwk,Neutral,face with an awkward expression
CurseLit,Joy,face with a wide grin and closed eyes indicating excitement
DAESuppy,Joy,face with a wide grin indicating happiness
DBstyle,Neutral,face with a neutral expression
DansGame,Disgust,face with a disgusted expression
DarkKnight,Neutral,face with a neutral expression
DarkMode,Neutral,face with a neutral expression
DatSheffy,Neutral,face with sunglasses indicating coolness
DendiFace,Neutral,face with a neutral expression
DinoDance,Joy,face with a playful expression indicating happiness
DogFace,Neutral,face with a neutral expression
DoritosChip,Neutral,image of a Doritos chip
DxCat,Joy,face with a playful expression indicating happiness
EarthDay,Joy,face with a playful expression indicating happiness
EleGiggle,Joy,face with eyes closed and mouth open indicating laughter
EntropyWins,Neutral,face with a neutral expression
ExtraLife,Joy,face with a playful expression indicating happiness
FBblock,Neutral,face with a neutral expression
FBCatch,Neutral,face with a neutral expression
FBChallenge,Neutral,face with a neutral expression
FBPass,Neutral,face with a neutral expression
FBPenalty,Neutral,face with a neutral expression
FBRun,Neutral,face with a neutral expression
FBSpiral,Neutral,face with a neutral expression
FBtouchdown,Joy,face with a joyful expression
FUNgineer,Joy,face with a playful expression indicating happiness
FailFish,Disgust,face with a disgusted expression
FallCry,Sadness,face with tears indicating sadness
FallHalp,Fear,face with a fearful expression
FallWinning,Joy,face with a joyful expression
FamilyMan,Neutral,face with a neutral expression
FlawlessVictory,Joy,face with a joyful expression
FootBall,Neutral,face with a neutral expression
FootGoal,Joy,face with a joyful expression
FootYellow,Neutral,face with a neutral expression
ForSigmar,Neutral,face with a neutral expression
FrankerZ,Joy,face with a playful expression indicating happiness
FreakinStinkin,Disgust,face with a disgusted expression
FutureMan,Neutral,face with a neutral expression
GayPride,Neutral,pride flag indicating support for LGBTQ+ community
GenderFluidPride,Neutral,pride flag indicating support for gender fluidity
Getcamped,Neutral,face with a neutral expression
GingerPower,Neutral,face with a neutral expression
GivePLZ,Neutral,face with a neutral expression
GlitchCat,Joy,face with a playful expression indicating happiness
GlitchLit,Joy,face with a joyful expression
GlitchNRG,Joy,face with a joyful expression
GoatEmotey,Neutral,face with a neutral expression
GoldPLZ,Neutral,face with a neutral expression
GrammarKing,Neutral,face with a neutral expression
GunRun,Neutral,face with sunglasses indicating coolness
HSCheers,Joy,face with a joyful expression holding a mug
HSWP,Neutral,face with a neutral expression
HarleyWink,Joy,winking face indicating playfulness
HassaanChop,Neutral,face with a neutral expression
HeyGuys,Joy,smiling face with a wave indicating greeting
HolidayCookie,Joy,face with a joyful expression
HolidayLog,Neutral,face with a neutral expression
HolidayPresent,Joy,face with a joyful expression holding a gift
HolidaySanta,Joy,face with a Santa hat indicating holiday cheer
HolidayTree,Joy,face with a joyful expression near a holiday tree
HotPokket,Neutral,face with a neutral expression
HungryPaimon,Joy,face with a playful expression indicating happiness
ImTyping,Neutral,face with a neutral expression typing
IntersexPride,Neutral,pride flag indicating support for intersex community
InuyoFace,Neutral,face with a neutral expression
ItsBoshyTime,Neutral,face with a neutral expression
JKanStyle,Neutral,face with a neutral expression
Jebaited,Surprise,face with a surprised expression
Jebasted,Surprise,face with a surprised expression
JonCarnage,Neutral,face with a neutral expression
KAPOW,Surprise,face with a surprised expression indicating impact
KEKHeim,Joy,face with a joyful expression
Kappa,Neutral,smirking face indicating sarcasm
KappaClaus,Joy,smirking face with a Santa hat indicating sarcasm
KappaPride,Joy,smirking face with a rainbow background indicating LGBTQ+ support
KappaRoss,Joy,smirking face with a Bob Ross wig indicating playfulness
KappaWealth,Joy,smirking face with dollar signs indicating wealth
Kappu,Joy,smirking face with playful eyes indicating joy
Keepo,Joy,smirking face with playful eyes indicating joy
KevinTurtle,Neutral,face with a neutral expression
Kippa,Joy,face with a playful expression
KomodoHype,Joy,face with a joyful expression
KonCha,Joy,face with a joyful expression greeting
